timestamp,VCM1-PDI402.PV,VCM1-FIA421.PV,VCM1-TI400-6.PV,EE-VCM1.M-GA402A-P,EE-VCM1.M-GA402B-P,PREDICTED_CR,PREDICTED_CR_DERIVATIVE,PREDICTED_THICKNESS,PREDICTED_CR_MA,PREDICTED_CR_MA_DERIVATIVE,PREDICTED_THICKNESS_MA
2026-01-01 00:00:00,2.3446645085340228,328.83742319704965,127.04178355902351,0.0,64.875,-1.893136669353718e-05,-2.9255972414405444e-07,15.121590093663833,-1.3196001199567498e-05,-1.3196001199567498e-05,15.121590093663833
2026-01-01 00:10:00,2.3441251284625575,329.2086426353902,126.66929104038333,0.0,65.09200286865234,-1.9473289894673406e-05,-5.419232011362254e-07,15.121570620373939,-1.3196471912810941e-05,-4.707132434434059e-10,15.12157689719192
2026-01-01 00:20:00,2.34303678145437,329.0043992739797,126.98677010443367,0.0,65.48100278981535,-1.8939266788338545e-05,5.34023106334861e-07,15.121551681107151,-1.3196765862705811e-05,-1.3196295149462368e-05,15.121563700426057
2026-01-01 00:30:00,2.3413056729847996,327.75563048494513,127.14962769791795,0.0,65.58799725138427,-1.898027482635388e-05,-4.1008038015333677e-08,15.121532700832326,-1.3197107533084893e-05,-8.123836225257865e-10,15.121550503318524
2026-01-01 00:40:00,2.337919235725955,329.0483856386427,126.61905664028212,0.0,65.41600030441187,-1.972900563728824e-05,-7.487308109343619e-07,15.121512971826688,-1.3197604472629346e-05,-1.319679208900682e-05,15.121537305714051
2026-01-01 00:50:00,2.3433865908817406,328.6227035854361,126.82865906526177,0.0,65.52799987792969,-1.8961346498400908e-05,7.676591388873323e-07,15.12149401048019,-1.319789295611709e-05,-1.1008671102698709e-09,15.121524107821095
2026-01-01 01:00:00,2.336237190746154,328.4422756388396,126.84514623559468,0.0,65.53500366210938,-1.9557759374609664e-05,-5.96412876208756e-07,15.121474452720815,-1.3198356017892648e-05,-1.3197255150782378e-05,15.121510909465076
2026-01-01 01:10:00,2.3392530083780305,328.1305541579922,127.13347816896955,0.0,65.37400045471149,-1.9178642974351823e-05,3.791164002578416e-07,15.12145527407784,-1.31987208042063e-05,-1.4656534239219178e-09,15.121497710744272
2026-01-01 01:20:00,2.3427525291513738,329.3587534077098,127.04420020895216,0.0,65.44899754816821,-1.9405750981395933e-05,-2.2710800704411077e-07,15.12143586832686,-1.3199141495058842e-05,-1.319767584163492e-05,15.121484511602777
2026-01-01 01:30:00,2.3359390436292395,328.97468118035044,126.43917903522298,0.0,65.01499939956702,-2.042892194859392e-05,-1.0231709671979864e-06,15.121415439404911,-1.319978766664311e-05,-2.111825008189498e-09,15.12147131181511
2026-01-01 01:40:00,2.3428070273115633,328.95541637418887,126.20095006160098,0.0,65.10621726303167,-1.9858149375915705e-05,5.707725726782148e-07,15.121395581255536,-1.3200314277120076e-05,-1.3198202452111886e-05,15.121458111500834
2026-01-01 01:50:00,2.3404604190818037,328.67578889412886,126.0928955627062,0.0,64.90799713134766,-1.9747054638665075e-05,1.110947372506298e-07,15.121375834200897,-1.3200822381649455e-05,-2.619929537568997e-09,15.121444910678452
2026-01-01 02:00:00,2.350647210183403,328.43966669926107,125.5406322647381,0.0,64.84899923324701,-1.9371486802152677e-05,3.7556783651239824e-07,15.121356462714095,-1.3201236338752865e-05,-1.3198616409215296e-05,15.121431709442113
2026-01-01 02:10:00,2.344945967093281,328.45761112129935,125.72386358862762,0.0,65.143997200268,-1.977661481409793e-05,-4.0512801194525215e-07,15.121336686099282,-1.3201734185706918e-05,-3.1177764916214397e-09,15.121418507707928
2026-01-01 02:20:00,2.341956972703277,329.1432647067821,125.5002860942448,0.0,65.61510151824913,-2.0013416357950036e-05,-2.3680154385210687e-07,15.121316672682923,-1.320230560858125e-05,-1.319918783208963e-05,15.12140530540232
2026-01-01 02:30:00,2.3410853150901554,328.8559567805069,125.57675935452959,0.0,65.17600247039809,-2.011764772279128e-05,-1.0423136484124395e-07,15.121296555035201,-1.3202900554831482e-05,-3.712722741852471e-09,15.121392102501765
2026-01-01 02:40:00,2.344164965688894,328.7851868786694,125.82592774650547,0.0,65.30899810791016,-2.000985397626773e-05,1.0779374652355024e-07,15.121276545181225,-1.3203476054351012e-05,-1.319976333160916e-05,15.12137889902571
2026-01-01 02:50:00,2.337347241844316,328.39907462639013,126.17865149076006,0.0,65.00800326487128,-1.983288020114501e-05,1.769737751227211e-07,15.121256712301024,-1.3204012390466021e-05,-4.2490588568616785e-09,15.12136569501332
2026-01-01 03:00:00,2.3447107799423543,329.2703412495943,126.30386858084424,0.0,65.59300223337681,-1.9852103093616677e-05,-1.9222892471668806e-08,15.12123686019793,-1.320453648545857e-05,-1.3200287426601709e-05,15.121352490476836
2026-01-01 03:10:00,2.338781216491382,328.6552734921858,126.35858030896988,0.0,65.32483617401061,-1.9951803231417074e-05,-9.970013780039705e-08,15.121216908394699,-1.3205079029319882e-05,-4.791602718173156e-09,15.121339285397807
2026-01-01 03:20:00,2.342249154576105,328.0417709347132,126.65783306730252,0.0,65.04280094604474,-1.927052329759683e-05,6.812799338202435e-07,15.1211976378714,-1.3205464780799213e-05,-1.320067317808104e-05,15.121326079933027
2026-01-01 03:30:00,2.3383070827775554,328.0329894458099,126.69898604887034,0.0,65.46299743652344,-1.925534331073901e-05,1.5179986857821086e-08,15.12117838252809,-1.3205846398243134e-05,-5.173220162093539e-09,15.121312874086628
2026-01-01 03:40:00,2.3400079016902966,328.0529632486325,126.70412440275541,0.0,65.09500118687865,-1.924154656004861e-05,1.3796750690398815e-08,15.12115914098153,-1.32062248208536e-05,-1.3201051600691506e-05,15.121299667861807
2026-01-01 03:50:00,2.340615273543032,327.7158814654841,126.73921388659801,0.0,65.1240005783077,-1.8950687564261493e-05,2.908589957871177e-07,15.121140190293964,-1.3206537843898803e-05,-5.486243207296446e-09,15.121286461323963
2026-01-01 04:00:00,2.345398238363065,328.5381020544592,126.19536609067538,0.0,65.4260025024414,-1.950772911153227e-05,-5.570415472707761e-07,15.121120682564852,-1.320697788284063e-05,-1.3201491639633333e-05,15.12127325434608
2026-01-01 04:10:00,2.3399668924119394,327.89767471455656,126.11229317695252,0.0,64.84899915288358,-1.9720327396105575e-05,-2.1259828457330536e-07,15.121100962237456,-1.3207467689683221e-05,-5.9760500498883044e-09,15.12126004687839
2026-01-01 04:20:00,2.335923909795989,327.9253843676609,126.40519139798806,0.0,65.11100006103516,-1.990205018125203e-05,-1.8172278514645566e-07,15.121081060187274,-1.3207999420866287e-05,-1.3202023370816399e-05,15.12124683887897
2026-01-01 04:30:00,2.3415158962746627,328.08280913338535,126.50075148176984,0.0,65.26299690755356,-1.9433972168334467e-05,4.680780129175638e-07,15.121061626215106,-1.3208423024516813e-05,-6.3996537004140484e-09,15.121233630455945
2026-01-01 04:40:00,2.343538467143448,328.6192707040374,126.6899167732263,0.0,65.25099954478016,-1.9110754560438297e-05,3.232176078961699e-07,15.121042515460545,-1.3208772153441251e-05,-1.3202372499740837e-05,15.121220421683791
2026-01-01 04:50:00,2.336220619978667,328.1419447525521,126.82390595941106,0.0,65.24800109863281,-1.926944361565283e-05,-1.5868905521453276e-07,15.121023246016929,-1.3209157941014524e-05,-6.7854412736861945e-09,15.12120721252585
2026-01-01 05:00:00,2.338931917913639,328.15548704738427,127.06181147686146,0.0,65.54799638417704,-1.907179968385407e-05,1.9764393179876036e-07,15.121004174217244,-1.320949745868853e-05,-1.3202712017414844e-05,15.121194003028391
2026-01-01 05:10:00,2.3406804785584123,328.1054840073532,126.61754609384805,0.0,65.03409665578316,-1.9315679843566344e-05,-2.438801597122751e-07,15.120984858537401,-1.3209919147429568e-05,-7.207130014723909e-09,15.121180793109243
2026-01-01 05:20:00,2.3339236983587397,327.54656217751324,126.01834295259808,0.0,65.40499877929688,-2.0060155492249618e-05,-7.444756486832735e-07,15.120964798381909,-1.321053428866739e-05,-1.3203327158652666e-05,15.121167582574955
2026-01-01 05:30:00,2.3421695045078863,328.6062131987634,125.81960171899179,0.0,65.00000012054419,-1.9991994442890033e-05,6.816104935958506e-08,15.120944806387467,-1.3211084974105058e-05,-7.757815452391959e-09,15.12115437148998
2026-01-01 05:40:00,2.341775003374038,327.77184206517336,126.1109198599764,0.0,65.1640013910927,-1.9445664860785663e-05,5.463295821043698e-07,15.120925360722605,-1.3211509497025096e-05,-1.3203751681572704e-05,15.121141159980484
2026-01-01 05:50:00,2.3406548557951345,328.13054670417813,125.93585165628558,0.0,65.62799834238636,-1.9736534534058315e-05,-2.908696732726519e-07,15.12090562418807,-1.321200348367796e-05,-8.251802105254706e-09,15.121127947977
2026-01-01 06:00:00,2.342159745977066,328.31204196369896,126.23446659813247,0.0,65.62100219726562,-1.966428437934225e-05,7.225015471606594e-08,15.120885959903692,-1.3212484547076863e-05,-1.3204232744971609e-05,15.121114735492453
2026-01-01 06:10:00,2.339990913734952,328.1181335223218,126.52680200280544,0.0,64.9010009765625,-1.9438976254062304e-05,2.2530812527994516e-07,15.120866520927438,-1.3212920951649138e-05,-8.688206677529172e-09,15.121101522571502
2026-01-01 06:20:00,2.340040861835739,328.2534178722806,126.70666116736248,0.0,65.40599820022665,-1.9275206306004433e-05,1.6376994805787084e-07,15.120847245721132,-1.3213328002839111e-05,-1.3204639796161582e-05,15.121088309243499
2026-01-01 06:30:00,2.3470557332755866,329.3047483751861,126.52038958319658,0.0,65.31675239690036,-1.963901443673893e-05,-3.638081307344973e-07,15.120827606706696,-1.3213798987237407e-05,-9.159191075824418e-09,15.121075095444512
2026-01-01 06:40:00,2.336108027213504,328.37191756493417,126.58487701146322,0.0,65.62024659601933,-1.9947958296644773e-05,-3.0894385990584296e-07,15.120807658748399,-1.3214341635375387e-05,-1.3205182444299563e-05,15.121061881102877
2026-01-01 06:50:00,2.3425680402899767,328.4931643567824,126.44812780058709,0.0,64.85199737548828,-1.9537686273878308e-05,4.1027202276646535e-07,15.120788121062125,-1.321478980433017e-05,-9.607360030607003e-09,15.121048666313072
2026-01-01 07:00:00,2.344684242769472,329.3058548559862,126.53595157432818,0.0,65.01399993896484,-1.964566496425099e-05,-1.0797869037268185e-07,15.12076847539716,-1.3215260060490525e-05,-1.3205652700459918e-05,15.121035451053011
